order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,In Full,On Time,On Time In Full
FMR32603203,1-Mar-22,789603,25891203,460,3/2/2022,3/3/2022,460,1,0,1
FMR33401603,1-Mar-22,789401,25891203,429,3/3/2022,3/3/2022,429,1,1,1
FMR32320302,1-Mar-22,789320,25891203,347,3/2/2022,3/2/2022,347,1,1,1
FMR33320501,1-Mar-22,789320,25891203,187,3/3/2022,3/3/2022,150,0,1,0
FMR34220601,1-Mar-22,789220,25891203,235,3/4/2022,3/4/2022,235,1,1,1
FMR33703603,1-Mar-22,789703,25891203,176,3/3/2022,3/3/2022,176,1,1,1
FMR33721603,1-Mar-22,789721,25891203,345,3/3/2022,3/3/2022,345,1,1,1
FMR33420203,1-Mar-22,789420,25891203,138,3/3/2022,3/6/2022,138,1,0,1
FMR34420402,1-Mar-22,789420,25891203,381,3/4/2022,3/5/2022,381,1,0,1
FMR32403401,1-Mar-22,789403,25891203,348,3/2/2022,3/2/2022,348,1,1,1
FMR34121203,1-Mar-22,789121,25891203,480,3/4/2022,3/6/2022,480,1,0,1
FMR32501601,1-Mar-22,789501,25891203,478,3/2/2022,3/2/2022,478,1,1,1
FMR34501203,1-Mar-22,789501,25891203,491,3/4/2022,3/4/2022,491,1,1,1
FMR34102602,1-Mar-22,789102,25891203,407,3/4/2022,3/4/2022,387,0,1,0
FMR33902203,1-Mar-22,789902,25891203,299,3/3/2022,3/3/2022,299,1,1,1
FMR34903603,1-Mar-22,789903,25891203,329,3/4/2022,3/4/2022,329,1,1,1
FMR32421203,1-Mar-22,789421,25891203,441,3/2/2022,3/3/2022,419,0,0,0
FMR33421203,1-Mar-22,789421,25891203,104,3/3/2022,3/6/2022,99,0,0,0
FMR33402203,1-Mar-22,789402,25891203,491,3/3/2022,3/5/2022,491,1,0,1
FMR33621603,1-Mar-22,789621,25891203,138,3/3/2022,3/3/2022,138,1,1,1
FMR34520301,1-Mar-22,789520,25891203,172,3/4/2022,3/4/2022,155,0,1,0
FMR33702302,1-Mar-22,789702,25891302,38,3/3/2022,3/3/2022,30,0,1,0
FMR32320302,1-Mar-22,789320,25891302,54,3/2/2022,3/2/2022,54,1,1,1
FMR34603302,1-Mar-22,789603,25891302,37,3/4/2022,3/4/2022,37,1,1,1
FMR34721502,1-Mar-22,789721,25891302,63,3/4/2022,3/5/2022,60,0,0,0
FMR33621302,1-Mar-22,789621,25891302,56,3/3/2022,3/4/2022,56,1,0,1
FMR32520302,1-Mar-22,789520,25891302,54,3/2/2022,3/3/2022,49,0,0,0
FMR33520601,1-Mar-22,789520,25891302,42,3/3/2022,3/5/2022,34,0,0,0
FMR34520302,1-Mar-22,789520,25891302,23,3/4/2022,3/5/2022,22,0,0,0
FMR32420602,1-Mar-22,789420,25891302,49,3/2/2022,3/4/2022,49,1,0,1
FMR32902402,1-Mar-22,789902,25891302,70,3/2/2022,3/2/2022,70,1,1,1
FMR32521302,1-Mar-22,789521,25891302,34,3/2/2022,3/3/2022,34,1,0,1
FMR32720302,1-Mar-22,789720,25891302,49,3/2/2022,3/2/2022,49,1,1,1
FMR33401603,1-Mar-22,789401,25891302,40,3/3/2022,3/3/2022,40,1,1,1
FMR33121302,1-Mar-22,789121,25891302,26,3/3/2022,3/3/2022,26,1,1,1
FMR32903403,1-Mar-22,789903,25891302,42,3/2/2022,3/2/2022,40,0,1,0
FMR32422302,1-Mar-22,789422,25891302,67,3/2/2022,3/5/2022,54,0,0,0
FMR32301302,1-Mar-22,789301,25891302,29,3/2/2022,3/5/2022,29,1,0,1
FMR33721603,1-Mar-22,789721,25891301,59,3/3/2022,3/3/2022,59,1,1,1
FMR32420403,1-Mar-22,789420,25891301,87,3/2/2022,3/2/2022,87,1,1,1
FMR33420301,1-Mar-22,789420,25891301,23,3/3/2022,3/5/2022,18,0,0,0
FMR33320501,1-Mar-22,789320,25891301,46,3/3/2022,3/3/2022,46,1,1,1
FMR33122301,1-Mar-22,789122,25891301,29,3/3/2022,3/5/2022,26,0,0,0
FMR34101301,1-Mar-22,789101,25891301,76,3/4/2022,3/4/2022,76,1,1,1
FMR33421301,1-Mar-22,789421,25891301,75,3/3/2022,3/5/2022,67,0,0,0
FMR34421301,1-Mar-22,789421,25891301,47,3/4/2022,3/4/2022,45,0,1,0
FMR34103403,1-Mar-22,789103,25891301,71,3/4/2022,3/4/2022,67,0,1,0
FMR32121301,1-Mar-22,789121,25891301,72,3/2/2022,3/3/2022,65,0,0,0
FMR34203601,1-Mar-22,789203,25891301,100,3/4/2022,3/4/2022,100,1,1,1
FMR33402303,1-Mar-22,789402,25891301,94,3/3/2022,3/3/2022,94,1,1,1
FMR34221301,1-Mar-22,789221,25891301,44,3/4/2022,3/4/2022,44,1,1,1
FMR34202301,1-Mar-22,789202,25891301,45,3/4/2022,3/4/2022,45,1,1,1
FMR32522301,1-Mar-22,789522,25891301,46,3/2/2022,3/3/2022,46,1,0,1
FMR34522403,1-Mar-22,789522,25891301,47,3/4/2022,3/5/2022,38,0,0,0
FMR34520301,1-Mar-22,789520,25891301,38,3/4/2022,3/4/2022,34,0,1,0
FMR33301301,1-Mar-22,789301,25891301,92,3/3/2022,3/3/2022,83,0,1,0
FMR34303602,1-Mar-22,789303,25891301,44,3/4/2022,3/4/2022,40,0,1,0
FMR33220603,1-Mar-22,789220,25891301,75,3/3/2022,3/3/2022,75,1,1,1
FMR32422301,1-Mar-22,789422,25891301,63,3/2/2022,3/2/2022,63,1,1,1
FMR33422301,1-Mar-22,789422,25891301,63,3/3/2022,3/5/2022,60,0,0,0
FMR34303602,1-Mar-22,789303,25891102,352,3/4/2022,3/4/2022,317,0,1,0
FMR34401102,1-Mar-22,789401,25891102,369,3/4/2022,3/3/2022,369,1,1,1
FMR34520302,1-Mar-22,789520,25891102,373,3/4/2022,3/5/2022,336,0,0,0
FMR32121102,1-Mar-22,789121,25891102,397,3/2/2022,3/1/2022,377,0,1,0
FMR33902203,1-Mar-22,789902,25891102,494,3/3/2022,3/3/2022,395,0,1,0
FMR34902102,1-Mar-22,789902,25891102,465,3/4/2022,3/5/2022,465,1,0,1
FMR32503401,1-Mar-22,789503,25891102,459,3/2/2022,3/2/2022,367,0,1,0
FMR32720302,1-Mar-22,789720,25891102,402,3/2/2022,3/2/2022,402,1,1,1
FMR33720202,1-Mar-22,789720,25891102,483,3/3/2022,3/3/2022,483,1,1,1
FMR34321602,1-Mar-22,789321,25891102,368,3/4/2022,3/4/2022,331,0,1,0
FMR32103503,1-Mar-22,789103,25891102,307,3/2/2022,3/2/2022,246,0,1,0
FMR32421102,1-Mar-22,789421,25891102,309,3/2/2022,3/4/2022,278,0,0,0
FMR34421301,1-Mar-22,789421,25891102,412,3/4/2022,3/4/2022,391,0,1,0
FMR34320102,1-Mar-22,789320,25891102,432,3/4/2022,3/5/2022,432,1,0,1
FMR32420102,1-Mar-22,789420,25891102,310,3/2/2022,3/5/2022,310,1,0,1
FMR32702601,1-Mar-22,789702,25891102,478,3/2/2022,3/2/2022,454,0,1,0
FMR34220601,1-Mar-22,789220,25891102,473,3/4/2022,3/4/2022,473,1,1,1
FMR34201202,1-Mar-22,789201,25891102,372,3/4/2022,3/4/2022,353,0,1,0
FMR32102102,1-Mar-22,789102,25891102,496,3/2/2022,3/1/2022,496,1,1,1
FMR34122102,1-Mar-22,789122,25891102,443,3/4/2022,3/6/2022,399,0,0,0
FMR33621102,1-Mar-22,789621,25891102,480,3/3/2022,3/6/2022,480,1,0,1
FMR32622502,1-Mar-22,789622,25891502,153,3/2/2022,3/2/2022,138,0,1,0
FMR33622502,1-Mar-22,789622,25891502,132,3/3/2022,3/3/2022,132,1,1,1
FMR32420602,1-Mar-22,789420,25891502,165,3/2/2022,3/4/2022,157,0,0,0
FMR32201502,1-Mar-22,789201,25891502,160,3/2/2022,3/2/2022,160,1,1,1
FMR33220603,1-Mar-22,789220,25891502,211,3/3/2022,3/3/2022,211,1,1,1
FMR33202502,1-Mar-22,789202,25891502,141,3/3/2022,3/3/2022,134,0,1,0
FMR33520502,1-Mar-22,789520,25891502,173,3/3/2022,3/6/2022,173,1,0,1
FMR34520503,1-Mar-22,789520,25891502,143,3/4/2022,3/7/2022,129,0,0,0
FMR33503502,1-Mar-22,789503,25891502,238,3/3/2022,3/3/2022,238,1,1,1
FMR34503502,1-Mar-22,789503,25891502,231,3/4/2022,3/3/2022,231,1,1,1
FMR33401603,1-Mar-22,789401,25891502,140,3/3/2022,3/3/2022,133,0,1,0
FMR34401503,1-Mar-22,789401,25891502,200,3/4/2022,3/4/2022,200,1,1,1
FMR34721502,1-Mar-22,789721,25891502,123,3/4/2022,3/5/2022,98,0,0,0
FMR34702502,1-Mar-22,789702,25891502,239,3/4/2022,3/4/2022,215,0,1,0
FMR33521502,1-Mar-22,789521,25891502,167,3/3/2022,3/5/2022,167,1,0,1
FMR33520502,1-Mar-22,789520,25891403,359,3/3/2022,3/6/2022,341,0,0,0
FMR33320501,1-Mar-22,789320,25891403,239,3/3/2022,3/3/2022,239,1,1,1
FMR34422403,1-Mar-22,789422,25891403,265,3/4/2022,3/6/2022,252,0,0,0
FMR32903403,1-Mar-22,789903,25891403,244,3/2/2022,3/2/2022,220,0,1,0
FMR32420403,1-Mar-22,789420,25891403,397,3/2/2022,3/2/2022,318,0,1,0
FMR33101403,1-Mar-22,789101,25891403,315,3/3/2022,3/3/2022,283,0,1,0
FMR32202603,1-Mar-22,789202,25891403,440,3/2/2022,3/2/2022,440,1,1,1
FMR34303602,1-Mar-22,789303,25891403,427,3/4/2022,3/4/2022,406,0,1,0
FMR32121403,1-Mar-22,789121,25891403,441,3/2/2022,3/2/2022,441,1,1,1
FMR34522403,1-Mar-22,789522,25891403,320,3/4/2022,3/5/2022,320,1,0,1
FMR34103403,1-Mar-22,789103,25891403,467,3/4/2022,3/4/2022,420,0,1,0
FMR32220503,1-Mar-22,789220,25891403,465,3/2/2022,3/2/2022,372,0,1,0
FMR32622503,1-Mar-22,789622,25891503,208,3/2/2022,3/1/2022,198,0,1,0
FMR34622602,1-Mar-22,789622,25891503,241,3/4/2022,3/4/2022,241,1,1,1
FMR33720503,1-Mar-22,789720,25891503,146,3/3/2022,3/4/2022,146,1,0,1
FMR32220503,1-Mar-22,789220,25891503,115,3/2/2022,3/2/2022,103,0,1,0
FMR33220603,1-Mar-22,789220,25891503,239,3/3/2022,3/3/2022,239,1,1,1
FMR34321602,1-Mar-22,789321,25891503,246,3/4/2022,3/4/2022,246,1,1,1
FMR32221603,1-Mar-22,789221,25891503,158,3/2/2022,3/2/2022,158,1,1,1
FMR33221503,1-Mar-22,789221,25891503,106,3/3/2022,3/3/2022,101,0,1,0
FMR32103503,1-Mar-22,789103,25891503,126,3/2/2022,3/2/2022,120,0,1,0
FMR33401603,1-Mar-22,789401,25891503,161,3/3/2022,3/3/2022,145,0,1,0
FMR34401503,1-Mar-22,789401,25891503,192,3/4/2022,3/4/2022,192,1,1,1
FMR34721503,1-Mar-22,789721,25891503,144,3/4/2022,3/4/2022,137,0,1,0
FMR33320503,1-Mar-22,789320,25891503,140,3/3/2022,3/6/2022,140,1,0,1
FMR34520503,1-Mar-22,789520,25891503,233,3/4/2022,3/7/2022,221,0,0,0
FMR32101601,1-Mar-22,789101,25891503,183,3/2/2022,3/2/2022,183,1,1,1
